"","image_name","ground_truth_mask_name","cell_count","blur_level","stain"
"42","SIMCEPImages_H01_C1_F23_s21_w2","SIMCEPImages_A01_C1_F1_s21_w2","1","23","2"
"43","SIMCEPImages_H01_C1_F23_s22_w1","SIMCEPImages_A01_C1_F1_s22_w1","1","23","1"
"44","SIMCEPImages_H01_C1_F23_s22_w2","SIMCEPImages_A01_C1_F1_s22_w2","1","23","2"
"45","SIMCEPImages_H01_C1_F23_s23_w1","SIMCEPImages_A01_C1_F1_s23_w1","1","23","1"
"46","SIMCEPImages_H01_C1_F23_s23_w2","SIMCEPImages_A01_C1_F1_s23_w2","1","23","2"
"47","SIMCEPImages_H01_C1_F23_s24_w1","SIMCEPImages_A01_C1_F1_s24_w1","1","23","1"
"48","SIMCEPImages_H01_C1_F23_s24_w2","SIMCEPImages_A01_C1_F1_s24_w2","1","23","2"
"49","SIMCEPImages_H01_C1_F23_s25_w1","SIMCEPImages_A01_C1_F1_s25_w1","1","23","1"
"50","SIMCEPImages_H01_C1_F23_s25_w2","SIMCEPImages_A01_C1_F1_s25_w2","1","23","2"
"51","SIMCEPImages_H02_C5_F23_s01_w1","SIMCEPImages_A02_C5_F1_s01_w1","5","23","1"
"52","SIMCEPImages_H02_C5_F23_s01_w2","SIMCEPImages_A02_C5_F1_s01_w2","5","23","2"
"53","SIMCEPImages_H02_C5_F23_s02_w1","SIMCEPImages_A02_C5_F1_s02_w1","5","23","1"
"54","SIMCEPImages_H02_C5_F23_s02_w2","SIMCEPImages_A02_C5_F1_s02_w2","5","23","2"
"55","SIMCEPImages_H02_C5_F23_s03_w1","SIMCEPImages_A02_C5_F1_s03_w1","5","23","1"
"56","SIMCEPImages_H02_C5_F23_s03_w2","SIMCEPImages_A02_C5_F1_s03_w2","5","23","2"
"57","SIMCEPImages_H02_C5_F23_s04_w1","SIMCEPImages_A02_C5_F1_s04_w1","5","23","1"
"58","SIMCEPImages_H02_C5_F23_s04_w2","SIMCEPImages_A02_C5_F1_s04_w2","5","23","2"
"59","SIMCEPImages_H02_C5_F23_s05_w1","SIMCEPImages_A02_C5_F1_s05_w1","5","23","1"
"60","SIMCEPImages_H02_C5_F23_s05_w2","SIMCEPImages_A02_C5_F1_s05_w2","5","23","2"
"61","SIMCEPImages_H02_C5_F23_s06_w1","SIMCEPImages_A02_C5_F1_s06_w1","5","23","1"
"62","SIMCEPImages_H02_C5_F23_s06_w2","SIMCEPImages_A02_C5_F1_s06_w2","5","23","2"
"63","SIMCEPImages_H02_C5_F23_s07_w1","SIMCEPImages_A02_C5_F1_s07_w1","5","23","1"
"64","SIMCEPImages_H02_C5_F23_s07_w2","SIMCEPImages_A02_C5_F1_s07_w2","5","23","2"
"65","SIMCEPImages_H02_C5_F23_s08_w1","SIMCEPImages_A02_C5_F1_s08_w1","5","23","1"
"66","SIMCEPImages_H02_C5_F23_s08_w2","SIMCEPImages_A02_C5_F1_s08_w2","5","23","2"
"67","SIMCEPImages_H02_C5_F23_s09_w1","SIMCEPImages_A02_C5_F1_s09_w1","5","23","1"
"68","SIMCEPImages_H02_C5_F23_s09_w2","SIMCEPImages_A02_C5_F1_s09_w2","5","23","2"
"69","SIMCEPImages_H02_C5_F23_s10_w1","SIMCEPImages_A02_C5_F1_s10_w1","5","23","1"
"70","SIMCEPImages_H02_C5_F23_s10_w2","SIMCEPImages_A02_C5_F1_s10_w2","5","23","2"
"71","SIMCEPImages_H02_C5_F23_s11_w1","SIMCEPImages_A02_C5_F1_s11_w1","5","23","1"
"72","SIMCEPImages_H02_C5_F23_s11_w2","SIMCEPImages_A02_C5_F1_s11_w2","5","23","2"
"73","SIMCEPImages_H02_C5_F23_s12_w1","SIMCEPImages_A02_C5_F1_s12_w1","5","23","1"
"74","SIMCEPImages_H02_C5_F23_s12_w2","SIMCEPImages_A02_C5_F1_s12_w2","5","23","2"
"75","SIMCEPImages_H02_C5_F23_s13_w1","SIMCEPImages_A02_C5_F1_s13_w1","5","23","1"
"76","SIMCEPImages_H02_C5_F23_s13_w2","SIMCEPImages_A02_C5_F1_s13_w2","5","23","2"
"77","SIMCEPImages_H02_C5_F23_s14_w1","SIMCEPImages_A02_C5_F1_s14_w1","5","23","1"
"78","SIMCEPImages_H02_C5_F23_s14_w2","SIMCEPImages_A02_C5_F1_s14_w2","5","23","2"
"79","SIMCEPImages_H02_C5_F23_s15_w1","SIMCEPImages_A02_C5_F1_s15_w1","5","23","1"
"80","SIMCEPImages_H02_C5_F23_s15_w2","SIMCEPImages_A02_C5_F1_s15_w2","5","23","2"
"81","SIMCEPImages_H02_C5_F23_s16_w1","SIMCEPImages_A02_C5_F1_s16_w1","5","23","1"
"82","SIMCEPImages_H02_C5_F23_s16_w2","SIMCEPImages_A02_C5_F1_s16_w2","5","23","2"
"83","SIMCEPImages_H02_C5_F23_s17_w1","SIMCEPImages_A02_C5_F1_s17_w1","5","23","1"
"84","SIMCEPImages_H02_C5_F23_s17_w2","SIMCEPImages_A02_C5_F1_s17_w2","5","23","2"
"85","SIMCEPImages_H02_C5_F23_s18_w1","SIMCEPImages_A02_C5_F1_s18_w1","5","23","1"
"86","SIMCEPImages_H02_C5_F23_s18_w2","SIMCEPImages_A02_C5_F1_s18_w2","5","23","2"
"87","SIMCEPImages_H02_C5_F23_s19_w1","SIMCEPImages_A02_C5_F1_s19_w1","5","23","1"
"88","SIMCEPImages_H02_C5_F23_s19_w2","SIMCEPImages_A02_C5_F1_s19_w2","5","23","2"
"89","SIMCEPImages_H02_C5_F23_s20_w1","SIMCEPImages_A02_C5_F1_s20_w1","5","23","1"
"90","SIMCEPImages_H02_C5_F23_s20_w2","SIMCEPImages_A02_C5_F1_s20_w2","5","23","2"
"91","SIMCEPImages_H02_C5_F23_s21_w1","SIMCEPImages_A02_C5_F1_s21_w1","5","23","1"
"92","SIMCEPImages_H02_C5_F23_s21_w2","SIMCEPImages_A02_C5_F1_s21_w2","5","23","2"
"93","SIMCEPImages_H02_C5_F23_s22_w1","SIMCEPImages_A02_C5_F1_s22_w1","5","23","1"
"94","SIMCEPImages_H02_C5_F23_s22_w2","SIMCEPImages_A02_C5_F1_s22_w2","5","23","2"
"95","SIMCEPImages_H02_C5_F23_s23_w1","SIMCEPImages_A02_C5_F1_s23_w1","5","23","1"
"96","SIMCEPImages_H02_C5_F23_s23_w2","SIMCEPImages_A02_C5_F1_s23_w2","5","23","2"
"97","SIMCEPImages_H02_C5_F23_s24_w1","SIMCEPImages_A02_C5_F1_s24_w1","5","23","1"
"98","SIMCEPImages_H02_C5_F23_s24_w2","SIMCEPImages_A02_C5_F1_s24_w2","5","23","2"
"99","SIMCEPImages_H02_C5_F23_s25_w1","SIMCEPImages_A02_C5_F1_s25_w1","5","23","1"
"100","SIMCEPImages_H02_C5_F23_s25_w2","SIMCEPImages_A02_C5_F1_s25_w2","5","23","2"
"101","SIMCEPImages_H03_C10_F23_s01_w1","SIMCEPImages_A03_C10_F1_s01_w1","10","23","1"
"102","SIMCEPImages_H03_C10_F23_s01_w2","SIMCEPImages_A03_C10_F1_s01_w2","10","23","2"
"103","SIMCEPImages_H03_C10_F23_s02_w1","SIMCEPImages_A03_C10_F1_s02_w1","10","23","1"
"104","SIMCEPImages_H03_C10_F23_s02_w2","SIMCEPImages_A03_C10_F1_s02_w2","10","23","2"
"105","SIMCEPImages_H03_C10_F23_s03_w1","SIMCEPImages_A03_C10_F1_s03_w1","10","23","1"
"106","SIMCEPImages_H03_C10_F23_s03_w2","SIMCEPImages_A03_C10_F1_s03_w2","10","23","2"
"107","SIMCEPImages_H03_C10_F23_s04_w1","SIMCEPImages_A03_C10_F1_s04_w1","10","23","1"
"108","SIMCEPImages_H03_C10_F23_s04_w2","SIMCEPImages_A03_C10_F1_s04_w2","10","23","2"
"109","SIMCEPImages_H03_C10_F23_s05_w1","SIMCEPImages_A03_C10_F1_s05_w1","10","23","1"
"110","SIMCEPImages_H03_C10_F23_s05_w2","SIMCEPImages_A03_C10_F1_s05_w2","10","23","2"
"111","SIMCEPImages_H03_C10_F23_s06_w1","SIMCEPImages_A03_C10_F1_s06_w1","10","23","1"
"112","SIMCEPImages_H03_C10_F23_s06_w2","SIMCEPImages_A03_C10_F1_s06_w2","10","23","2"
"113","SIMCEPImages_H03_C10_F23_s07_w1","SIMCEPImages_A03_C10_F1_s07_w1","10","23","1"
"114","SIMCEPImages_H03_C10_F23_s07_w2","SIMCEPImages_A03_C10_F1_s07_w2","10","23","2"
"115","SIMCEPImages_H03_C10_F23_s08_w1","SIMCEPImages_A03_C10_F1_s08_w1","10","23","1"
"116","SIMCEPImages_H03_C10_F23_s08_w2","SIMCEPImages_A03_C10_F1_s08_w2","10","23","2"
"117","SIMCEPImages_H03_C10_F23_s09_w1","SIMCEPImages_A03_C10_F1_s09_w1","10","23","1"
"118","SIMCEPImages_H03_C10_F23_s09_w2","SIMCEPImages_A03_C10_F1_s09_w2","10","23","2"
"119","SIMCEPImages_H03_C10_F23_s10_w1","SIMCEPImages_A03_C10_F1_s10_w1","10","23","1"
"120","SIMCEPImages_H03_C10_F23_s10_w2","SIMCEPImages_A03_C10_F1_s10_w2","10","23","2"
"121","SIMCEPImages_H03_C10_F23_s11_w1","SIMCEPImages_A03_C10_F1_s11_w1","10","23","1"
"122","SIMCEPImages_H03_C10_F23_s11_w2","SIMCEPImages_A03_C10_F1_s11_w2","10","23","2"
"123","SIMCEPImages_H03_C10_F23_s12_w1","SIMCEPImages_A03_C10_F1_s12_w1","10","23","1"
"124","SIMCEPImages_H03_C10_F23_s12_w2","SIMCEPImages_A03_C10_F1_s12_w2","10","23","2"
"125","SIMCEPImages_H03_C10_F23_s13_w1","SIMCEPImages_A03_C10_F1_s13_w1","10","23","1"
"126","SIMCEPImages_H03_C10_F23_s13_w2","SIMCEPImages_A03_C10_F1_s13_w2","10","23","2"
"127","SIMCEPImages_H03_C10_F23_s14_w1","SIMCEPImages_A03_C10_F1_s14_w1","10","23","1"
"128","SIMCEPImages_H03_C10_F23_s14_w2","SIMCEPImages_A03_C10_F1_s14_w2","10","23","2"
"129","SIMCEPImages_H03_C10_F23_s15_w1","SIMCEPImages_A03_C10_F1_s15_w1","10","23","1"
"130","SIMCEPImages_H03_C10_F23_s15_w2","SIMCEPImages_A03_C10_F1_s15_w2","10","23","2"
"131","SIMCEPImages_H03_C10_F23_s16_w1","SIMCEPImages_A03_C10_F1_s16_w1","10","23","1"
"132","SIMCEPImages_H03_C10_F23_s16_w2","SIMCEPImages_A03_C10_F1_s16_w2","10","23","2"
"133","SIMCEPImages_H03_C10_F23_s17_w1","SIMCEPImages_A03_C10_F1_s17_w1","10","23","1"
"134","SIMCEPImages_H03_C10_F23_s17_w2","SIMCEPImages_A03_C10_F1_s17_w2","10","23","2"
"135","SIMCEPImages_H03_C10_F23_s18_w1","SIMCEPImages_A03_C10_F1_s18_w1","10","23","1"
"136","SIMCEPImages_H03_C10_F23_s18_w2","SIMCEPImages_A03_C10_F1_s18_w2","10","23","2"
"137","SIMCEPImages_H03_C10_F23_s19_w1","SIMCEPImages_A03_C10_F1_s19_w1","10","23","1"
"138","SIMCEPImages_H03_C10_F23_s19_w2","SIMCEPImages_A03_C10_F1_s19_w2","10","23","2"
"139","SIMCEPImages_H03_C10_F23_s20_w1","SIMCEPImages_A03_C10_F1_s20_w1","10","23","1"
"140","SIMCEPImages_H03_C10_F23_s20_w2","SIMCEPImages_A03_C10_F1_s20_w2","10","23","2"
"141","SIMCEPImages_H03_C10_F23_s21_w1","SIMCEPImages_A03_C10_F1_s21_w1","10","23","1"
"142","SIMCEPImages_H03_C10_F23_s21_w2","SIMCEPImages_A03_C10_F1_s21_w2","10","23","2"
"143","SIMCEPImages_H03_C10_F23_s22_w1","SIMCEPImages_A03_C10_F1_s22_w1","10","23","1"
"144","SIMCEPImages_H03_C10_F23_s22_w2","SIMCEPImages_A03_C10_F1_s22_w2","10","23","2"
"145","SIMCEPImages_H03_C10_F23_s23_w1","SIMCEPImages_A03_C10_F1_s23_w1","10","23","1"
"146","SIMCEPImages_H03_C10_F23_s23_w2","SIMCEPImages_A03_C10_F1_s23_w2","10","23","2"
"147","SIMCEPImages_H03_C10_F23_s24_w1","SIMCEPImages_A03_C10_F1_s24_w1","10","23","1"
"148","SIMCEPImages_H03_C10_F23_s24_w2","SIMCEPImages_A03_C10_F1_s24_w2","10","23","2"
"149","SIMCEPImages_H03_C10_F23_s25_w1","SIMCEPImages_A03_C10_F1_s25_w1","10","23","1"
"150","SIMCEPImages_H03_C10_F23_s25_w2","SIMCEPImages_A03_C10_F1_s25_w2","10","23","2"
"151","SIMCEPImages_H04_C14_F23_s01_w1","SIMCEPImages_A04_C14_F1_s01_w1","14","23","1"
"152","SIMCEPImages_H04_C14_F23_s01_w2","SIMCEPImages_A04_C14_F1_s01_w2","14","23","2"
"153","SIMCEPImages_H04_C14_F23_s02_w1","SIMCEPImages_A04_C14_F1_s02_w1","14","23","1"
"154","SIMCEPImages_H04_C14_F23_s02_w2","SIMCEPImages_A04_C14_F1_s02_w2","14","23","2"
"155","SIMCEPImages_H04_C14_F23_s03_w1","SIMCEPImages_A04_C14_F1_s03_w1","14","23","1"
"156","SIMCEPImages_H04_C14_F23_s03_w2","SIMCEPImages_A04_C14_F1_s03_w2","14","23","2"
"157","SIMCEPImages_H04_C14_F23_s04_w1","SIMCEPImages_A04_C14_F1_s04_w1","14","23","1"
"158","SIMCEPImages_H04_C14_F23_s04_w2","SIMCEPImages_A04_C14_F1_s04_w2","14","23","2"
"159","SIMCEPImages_H04_C14_F23_s05_w1","SIMCEPImages_A04_C14_F1_s05_w1","14","23","1"
"160","SIMCEPImages_H04_C14_F23_s05_w2","SIMCEPImages_A04_C14_F1_s05_w2","14","23","2"
"161","SIMCEPImages_H04_C14_F23_s06_w1","SIMCEPImages_A04_C14_F1_s06_w1","14","23","1"
"162","SIMCEPImages_H04_C14_F23_s06_w2","SIMCEPImages_A04_C14_F1_s06_w2","14","23","2"
"163","SIMCEPImages_H04_C14_F23_s07_w1","SIMCEPImages_A04_C14_F1_s07_w1","14","23","1"
"164","SIMCEPImages_H04_C14_F23_s07_w2","SIMCEPImages_A04_C14_F1_s07_w2","14","23","2"
"165","SIMCEPImages_H04_C14_F23_s08_w1","SIMCEPImages_A04_C14_F1_s08_w1","14","23","1"
"166","SIMCEPImages_H04_C14_F23_s08_w2","SIMCEPImages_A04_C14_F1_s08_w2","14","23","2"
"167","SIMCEPImages_H04_C14_F23_s09_w1","SIMCEPImages_A04_C14_F1_s09_w1","14","23","1"
"168","SIMCEPImages_H04_C14_F23_s09_w2","SIMCEPImages_A04_C14_F1_s09_w2","14","23","2"
"169","SIMCEPImages_H04_C14_F23_s10_w1","SIMCEPImages_A04_C14_F1_s10_w1","14","23","1"
"170","SIMCEPImages_H04_C14_F23_s10_w2","SIMCEPImages_A04_C14_F1_s10_w2","14","23","2"
"171","SIMCEPImages_H04_C14_F23_s11_w1","SIMCEPImages_A04_C14_F1_s11_w1","14","23","1"
"172","SIMCEPImages_H04_C14_F23_s11_w2","SIMCEPImages_A04_C14_F1_s11_w2","14","23","2"
"173","SIMCEPImages_H04_C14_F23_s12_w1","SIMCEPImages_A04_C14_F1_s12_w1","14","23","1"
"174","SIMCEPImages_H04_C14_F23_s12_w2","SIMCEPImages_A04_C14_F1_s12_w2","14","23","2"
"175","SIMCEPImages_H04_C14_F23_s13_w1","SIMCEPImages_A04_C14_F1_s13_w1","14","23","1"
"176","SIMCEPImages_H04_C14_F23_s13_w2","SIMCEPImages_A04_C14_F1_s13_w2","14","23","2"
"177","SIMCEPImages_H04_C14_F23_s14_w1","SIMCEPImages_A04_C14_F1_s14_w1","14","23","1"
"178","SIMCEPImages_H04_C14_F23_s14_w2","SIMCEPImages_A04_C14_F1_s14_w2","14","23","2"
"179","SIMCEPImages_H04_C14_F23_s15_w1","SIMCEPImages_A04_C14_F1_s15_w1","14","23","1"
"180","SIMCEPImages_H04_C14_F23_s15_w2","SIMCEPImages_A04_C14_F1_s15_w2","14","23","2"
"181","SIMCEPImages_H04_C14_F23_s16_w1","SIMCEPImages_A04_C14_F1_s16_w1","14","23","1"
"182","SIMCEPImages_H04_C14_F23_s16_w2","SIMCEPImages_A04_C14_F1_s16_w2","14","23","2"
"183","SIMCEPImages_H04_C14_F23_s17_w1","SIMCEPImages_A04_C14_F1_s17_w1","14","23","1"
"184","SIMCEPImages_H04_C14_F23_s17_w2","SIMCEPImages_A04_C14_F1_s17_w2","14","23","2"
"185","SIMCEPImages_H04_C14_F23_s18_w1","SIMCEPImages_A04_C14_F1_s18_w1","14","23","1"
"186","SIMCEPImages_H04_C14_F23_s18_w2","SIMCEPImages_A04_C14_F1_s18_w2","14","23","2"
"187","SIMCEPImages_H04_C14_F23_s19_w1","SIMCEPImages_A04_C14_F1_s19_w1","14","23","1"
"188","SIMCEPImages_H04_C14_F23_s19_w2","SIMCEPImages_A04_C14_F1_s19_w2","14","23","2"
"189","SIMCEPImages_H04_C14_F23_s20_w1","SIMCEPImages_A04_C14_F1_s20_w1","14","23","1"
"190","SIMCEPImages_H04_C14_F23_s20_w2","SIMCEPImages_A04_C14_F1_s20_w2","14","23","2"
"191","SIMCEPImages_H04_C14_F23_s21_w1","SIMCEPImages_A04_C14_F1_s21_w1","14","23","1"
"192","SIMCEPImages_H04_C14_F23_s21_w2","SIMCEPImages_A04_C14_F1_s21_w2","14","23","2"
"193","SIMCEPImages_H04_C14_F23_s22_w1","SIMCEPImages_A04_C14_F1_s22_w1","14","23","1"
"194","SIMCEPImages_H04_C14_F23_s22_w2","SIMCEPImages_A04_C14_F1_s22_w2","14","23","2"
"195","SIMCEPImages_H04_C14_F23_s23_w1","SIMCEPImages_A04_C14_F1_s23_w1","14","23","1"
"196","SIMCEPImages_H04_C14_F23_s23_w2","SIMCEPImages_A04_C14_F1_s23_w2","14","23","2"
"197","SIMCEPImages_H04_C14_F23_s24_w1","SIMCEPImages_A04_C14_F1_s24_w1","14","23","1"
"198","SIMCEPImages_H04_C14_F23_s24_w2","SIMCEPImages_A04_C14_F1_s24_w2","14","23","2"
"199","SIMCEPImages_H04_C14_F23_s25_w1","SIMCEPImages_A04_C14_F1_s25_w1","14","23","1"
"200","SIMCEPImages_H04_C14_F23_s25_w2","SIMCEPImages_A04_C14_F1_s25_w2","14","23","2"
"201","SIMCEPImages_H05_C18_F23_s01_w1","SIMCEPImages_A05_C18_F1_s01_w1","18","23","1"
"202","SIMCEPImages_H05_C18_F23_s01_w2","SIMCEPImages_A05_C18_F1_s01_w2","18","23","2"
"203","SIMCEPImages_H05_C18_F23_s02_w1","SIMCEPImages_A05_C18_F1_s02_w1","18","23","1"
"204","SIMCEPImages_H05_C18_F23_s02_w2","SIMCEPImages_A05_C18_F1_s02_w2","18","23","2"
"205","SIMCEPImages_H05_C18_F23_s03_w1","SIMCEPImages_A05_C18_F1_s03_w1","18","23","1"
"206","SIMCEPImages_H05_C18_F23_s03_w2","SIMCEPImages_A05_C18_F1_s03_w2","18","23","2"
"207","SIMCEPImages_H05_C18_F23_s04_w1","SIMCEPImages_A05_C18_F1_s04_w1","18","23","1"
"208","SIMCEPImages_H05_C18_F23_s04_w2","SIMCEPImages_A05_C18_F1_s04_w2","18","23","2"
"209","SIMCEPImages_H05_C18_F23_s05_w1","SIMCEPImages_A05_C18_F1_s05_w1","18","23","1"
"210","SIMCEPImages_H05_C18_F23_s05_w2","SIMCEPImages_A05_C18_F1_s05_w2","18","23","2"
"211","SIMCEPImages_H05_C18_F23_s06_w1","SIMCEPImages_A05_C18_F1_s06_w1","18","23","1"
"212","SIMCEPImages_H05_C18_F23_s06_w2","SIMCEPImages_A05_C18_F1_s06_w2","18","23","2"
"213","SIMCEPImages_H05_C18_F23_s07_w1","SIMCEPImages_A05_C18_F1_s07_w1","18","23","1"
"214","SIMCEPImages_H05_C18_F23_s07_w2","SIMCEPImages_A05_C18_F1_s07_w2","18","23","2"
"215","SIMCEPImages_H05_C18_F23_s08_w1","SIMCEPImages_A05_C18_F1_s08_w1","18","23","1"
"216","SIMCEPImages_H05_C18_F23_s08_w2","SIMCEPImages_A05_C18_F1_s08_w2","18","23","2"
"217","SIMCEPImages_H05_C18_F23_s09_w1","SIMCEPImages_A05_C18_F1_s09_w1","18","23","1"
"218","SIMCEPImages_H05_C18_F23_s09_w2","SIMCEPImages_A05_C18_F1_s09_w2","18","23","2"
"219","SIMCEPImages_H05_C18_F23_s10_w1","SIMCEPImages_A05_C18_F1_s10_w1","18","23","1"
"220","SIMCEPImages_H05_C18_F23_s10_w2","SIMCEPImages_A05_C18_F1_s10_w2","18","23","2"
"221","SIMCEPImages_H05_C18_F23_s11_w1","SIMCEPImages_A05_C18_F1_s11_w1","18","23","1"
"222","SIMCEPImages_H05_C18_F23_s11_w2","SIMCEPImages_A05_C18_F1_s11_w2","18","23","2"
"223","SIMCEPImages_H05_C18_F23_s12_w1","SIMCEPImages_A05_C18_F1_s12_w1","18","23","1"
"224","SIMCEPImages_H05_C18_F23_s12_w2","SIMCEPImages_A05_C18_F1_s12_w2","18","23","2"
"225","SIMCEPImages_H05_C18_F23_s13_w1","SIMCEPImages_A05_C18_F1_s13_w1","18","23","1"
"226","SIMCEPImages_H05_C18_F23_s13_w2","SIMCEPImages_A05_C18_F1_s13_w2","18","23","2"
"227","SIMCEPImages_H05_C18_F23_s14_w1","SIMCEPImages_A05_C18_F1_s14_w1","18","23","1"
"228","SIMCEPImages_H05_C18_F23_s14_w2","SIMCEPImages_A05_C18_F1_s14_w2","18","23","2"
"229","SIMCEPImages_H05_C18_F23_s15_w1","SIMCEPImages_A05_C18_F1_s15_w1","18","23","1"
"230","SIMCEPImages_H05_C18_F23_s15_w2","SIMCEPImages_A05_C18_F1_s15_w2","18","23","2"
"231","SIMCEPImages_H05_C18_F23_s16_w1","SIMCEPImages_A05_C18_F1_s16_w1","18","23","1"
"232","SIMCEPImages_H05_C18_F23_s16_w2","SIMCEPImages_A05_C18_F1_s16_w2","18","23","2"
"233","SIMCEPImages_H05_C18_F23_s17_w1","SIMCEPImages_A05_C18_F1_s17_w1","18","23","1"
"234","SIMCEPImages_H05_C18_F23_s17_w2","SIMCEPImages_A05_C18_F1_s17_w2","18","23","2"
"235","SIMCEPImages_H05_C18_F23_s18_w1","SIMCEPImages_A05_C18_F1_s18_w1","18","23","1"
"236","SIMCEPImages_H05_C18_F23_s18_w2","SIMCEPImages_A05_C18_F1_s18_w2","18","23","2"
"237","SIMCEPImages_H05_C18_F23_s19_w1","SIMCEPImages_A05_C18_F1_s19_w1","18","23","1"
"238","SIMCEPImages_H05_C18_F23_s19_w2","SIMCEPImages_A05_C18_F1_s19_w2","18","23","2"
"239","SIMCEPImages_H05_C18_F23_s20_w1","SIMCEPImages_A05_C18_F1_s20_w1","18","23","1"
"240","SIMCEPImages_H05_C18_F23_s20_w2","SIMCEPImages_A05_C18_F1_s20_w2","18","23","2"
